STATE,USPS Code,LEGAL,DCRIM,MED,year,legal_year
47,TN,0,0,0,2011,NA
48,TX,0,0,0,2011,NA
49,UT,0,0,0,2011,NA
50,VT,0,0,1,2011,2018
51,VA,0,0,0,2011,NA
53,WA,0,0,1,2011,2012
54,WV,0,0,0,2011,NA
55,WI,0,0,0,2011,NA
56,WY,0,0,0,2011,NA
1,AL,0,0,0,2012,NA
2,AK,0,0,1,2012,2014
4,AZ,0,0,1,2012,NA
5,AR,0,0,0,2012,NA
6,CA,0,1,1,2012,2016
8,CO,1,1,0,2012,2012
9,CT,0,1,1,2012,NA
10,DE,0,0,1,2012,NA
11,DC,0,0,0,2012,NA
12,FL,0,0,0,2012,NA
13,GA,0,0,0,2012,NA
15,HI,0,0,1,2012,NA
16,ID,0,0,0,2012,NA
17,IL,0,0,0,2012,2019
18,IN,0,0,0,2012,NA
19,IA,0,0,0,2012,NA
20,KS,0,0,0,2012,NA
21,KY,0,0,0,2012,NA
22,LA,0,0,0,2012,NA
23,ME,0,0,1,2012,2016
24,MD,0,0,0,2012,NA
25,MA,0,1,1,2012,2016
26,MI,0,0,1,2012,2018
27,MN,0,1,0,2012,NA
28,MS,0,1,0,2012,NA
29,MO,0,0,0,2012,NA
30,MT,0,0,1,2012,NA
31,NE,0,1,0,2012,NA
32,NV,0,0,1,2012,2016
33,NH,0,0,0,2012,NA
34,NJ,0,0,1,2012,NA
35,NM,0,0,1,2012,NA
36,NY,0,1,0,2012,NA
37,NC,0,1,0,2012,NA
38,ND,0,0,0,2012,NA
39,OH,0,1,0,2012,NA
40,OK,0,0,0,2012,NA
41,OR,0,0,1,2012,2014
42,PA,0,0,0,2012,NA
43,PR,0,0,0,2012,NA
44,RI,0,1,1,2012,NA
45,SC,0,0,0,2012,NA
46,SD,0,0,0,2012,NA
47,TN,0,0,0,2012,NA
48,TX,0,0,0,2012,NA
49,UT,0,0,0,2012,NA
50,VT,0,0,1,2012,2018
51,VA,0,0,0,2012,NA
53,WA,1,0,1,2012,2012
54,WV,0,0,0,2012,NA
55,WI,0,0,0,2012,NA
56,WY,0,0,0,2012,NA
1,AL,0,0,0,2013,NA
2,AK,0,0,1,2013,2014
4,AZ,0,0,1,2013,NA
5,AR,0,0,0,2013,NA
6,CA,0,1,1,2013,2016
8,CO,1,1,0,2013,2012
9,CT,0,1,1,2013,NA
10,DE,0,0,1,2013,NA
11,DC,0,0,0,2013,NA
12,FL,0,0,0,2013,NA
13,GA,0,0,0,2013,NA
15,HI,0,0,1,2013,NA
16,ID,0,0,0,2013,NA
17,IL,0,0,1,2013,2019
18,IN,0,0,0,2013,NA
19,IA,0,0,0,2013,NA
20,KS,0,0,0,2013,NA
21,KY,0,0,0,2013,NA
22,LA,0,0,0,2013,NA
23,ME,0,0,1,2013,2016
24,MD,0,0,0,2013,NA
25,MA,0,1,1,2013,2016
26,MI,0,0,1,2013,2018
27,MN,0,1,0,2013,NA
28,MS,0,1,0,2013,NA
29,MO,0,0,0,2013,NA
30,MT,0,0,1,2013,NA
31,NE,0,1,0,2013,NA
32,NV,0,0,1,2013,2016
33,NH,0,0,1,2013,NA
34,NJ,0,0,1,2013,NA
35,NM,0,0,1,2013,NA
36,NY,0,1,0,2013,NA
37,NC,0,1,0,2013,NA
38,ND,0,0,0,2013,NA
39,OH,0,1,0,2013,NA
40,OK,0,0,0,2013,NA
41,OR,0,0,1,2013,2014
42,PA,0,0,0,2013,NA
43,PR,0,0,0,2013,NA
44,RI,0,1,1,2013,NA
45,SC,0,0,0,2013,NA
46,SD,0,0,0,2013,NA
47,TN,0,0,0,2013,NA
48,TX,0,0,0,2013,NA
49,UT,0,0,0,2013,NA
50,VT,0,1,1,2013,2018
51,VA,0,0,0,2013,NA
53,WA,1,0,1,2013,2012
54,WV,0,0,0,2013,NA
55,WI,0,0,0,2013,NA
56,WY,0,0,0,2013,NA
1,AL,0,0,0,2014,NA
2,AK,1,0,1,2014,2014
4,AZ,0,0,1,2014,NA
5,AR,0,0,0,2014,NA
6,CA,0,1,1,2014,2016
8,CO,1,1,0,2014,2012
9,CT,0,1,1,2014,NA
10,DE,0,0,1,2014,NA
11,DC,0,0,0,2014,NA
12,FL,0,0,0,2014,NA
13,GA,0,0,0,2014,NA
15,HI,0,0,1,2014,NA
16,ID,0,0,0,2014,NA
17,IL,0,0,1,2014,2019
18,IN,0,0,0,2014,NA
19,IA,0,0,0,2014,NA
20,KS,0,0,0,2014,NA
21,KY,0,0,0,2014,NA
22,LA,0,0,0,2014,NA
23,ME,0,0,1,2014,2016
24,MD,0,1,1,2014,NA
25,MA,0,1,1,2014,2016
26,MI,0,0,1,2014,2018
27,MN,0,1,1,2014,NA
28,MS,0,1,0,2014,NA
29,MO,0,1,0,2014,NA
30,MT,0,0,1,2014,NA
31,NE,0,1,0,2014,NA
32,NV,0,0,1,2014,2016
33,NH,0,0,1,2014,NA
34,NJ,0,0,1,2014,NA
35,NM,0,0,1,2014,NA
36,NY,0,1,1,2014,NA
37,NC,0,1,0,2014,NA
38,ND,0,0,0,2014,NA
39,OH,0,1,0,2014,NA
40,OK,0,0,0,2014,NA
41,OR,1,0,1,2014,2014
42,PA,0,0,0,2014,NA
43,PR,0,0,0,2014,NA
44,RI,0,1,1,2014,NA
45,SC,0,0,0,2014,NA
46,SD,0,0,0,2014,NA
47,TN,0,0,0,2014,NA
48,TX,0,0,0,2014,NA
49,UT,0,0,0,2014,NA
50,VT,0,1,1,2014,2018
51,VA,0,0,0,2014,NA
53,WA,1,0,1,2014,2012
54,WV,0,0,0,2014,NA
55,WI,0,0,0,2014,NA
56,WY,0,0,0,2014,NA
1,AL,0,0,0,2015,NA
2,AK,1,0,1,2015,2014
4,AZ,0,0,1,2015,NA
5,AR,0,0,0,2015,NA
6,CA,0,1,1,2015,2016
8,CO,1,1,0,2015,2012
9,CT,0,1,1,2015,NA
10,DE,0,1,1,2015,NA
11,DC,0,0,0,2015,NA
12,FL,0,0,0,2015,NA
13,GA,0,0,0,2015,NA
15,HI,0,0,1,2015,NA
16,ID,0,0,0,2015,NA
17,IL,0,0,1,2015,2019
18,IN,0,0,0,2015,NA
19,IA,0,0,0,2015,NA
20,KS,0,0,0,2015,NA
21,KY,0,0,0,2015,NA
22,LA,0,0,1,2015,NA
23,ME,0,0,1,2015,2016
24,MD,0,1,1,2015,NA
25,MA,0,1,1,2015,2016
26,MI,0,0,1,2015,2018
27,MN,0,1,1,2015,NA
28,MS,0,1,0,2015,NA
29,MO,0,1,0,2015,NA
30,MT,0,0,1,2015,NA
31,NE,0,1,0,2015,NA
32,NV,0,0,1,2015,2016
33,NH,0,0,1,2015,NA
34,NJ,0,0,1,2015,NA
35,NM,0,0,1,2015,NA
36,NY,0,1,1,2015,NA
37,NC,0,1,0,2015,NA
38,ND,0,0,0,2015,NA
39,OH,0,1,0,2015,NA
40,OK,0,0,0,2015,NA
41,OR,1,0,1,2015,2014
42,PA,0,0,0,2015,NA
43,PR,0,0,0,2015,NA
44,RI,0,1,1,2015,NA
45,SC,0,0,0,2015,NA
46,SD,0,0,0,2015,NA
47,TN,0,0,0,2015,NA
48,TX,0,0,0,2015,NA
49,UT,0,0,0,2015,NA
50,VT,0,1,1,2015,2018
51,VA,0,0,0,2015,NA
53,WA,1,0,1,2015,2012
54,WV,0,0,0,2015,NA
55,WI,0,0,0,2015,NA
56,WY,0,0,0,2015,NA
1,AL,0,0,0,2016,NA
2,AK,1,0,1,2016,2014
4,AZ,0,0,1,2016,NA
5,AR,0,0,0,2016,NA
6,CA,1,1,1,2016,2016
8,CO,1,1,0,2016,2012
9,CT,0,1,1,2016,NA
10,DE,0,1,1,2016,NA
11,DC,0,0,0,2016,NA
12,FL,0,0,0,2016,NA
13,GA,0,0,0,2016,NA
15,HI,0,0,1,2016,NA
16,ID,0,0,0,2016,NA
17,IL,0,1,1,2016,2019
18,IN,0,0,0,2016,NA
19,IA,0,0,0,2016,NA
20,KS,0,0,0,2016,NA
21,KY,0,0,0,2016,NA
22,LA,0,0,1,2016,NA
23,ME,1,0,1,2016,2016
24,MD,0,1,1,2016,NA
25,MA,1,1,1,2016,2016
26,MI,0,0,1,2016,2018
27,MN,0,1,1,2016,NA
28,MS,0,1,0,2016,NA
29,MO,0,1,0,2016,NA
30,MT,0,0,1,2016,NA
31,NE,0,1,0,2016,NA
32,NV,1,0,1,2016,2016
33,NH,0,0,1,2016,NA
34,NJ,0,0,1,2016,NA
35,NM,0,0,1,2016,NA
36,NY,0,1,1,2016,NA
37,NC,0,1,0,2016,NA
38,ND,0,0,0,2016,NA
39,OH,0,1,1,2016,NA
40,OK,0,0,0,2016,NA
41,OR,1,0,1,2016,2014
42,PA,0,0,1,2016,NA
43,PR,0,0,0,2016,NA
44,RI,0,1,1,2016,NA
45,SC,0,0,0,2016,NA
46,SD,0,0,0,2016,NA
47,TN,0,0,0,2016,NA
48,TX,0,0,0,2016,NA
49,UT,0,0,0,2016,NA
50,VT,0,1,1,2016,2018
51,VA,0,0,0,2016,NA
53,WA,1,0,1,2016,2012
54,WV,0,0,0,2016,NA
55,WI,0,0,0,2016,NA
56,WY,0,0,0,2016,NA
1,AL,0,0,0,2017,NA
2,AK,1,0,1,2017,2014
4,AZ,0,0,1,2017,NA
5,AR,0,0,0,2017,NA
6,CA,1,1,1,2017,2016
8,CO,1,1,0,2017,2012
9,CT,0,1,1,2017,NA
10,DE,0,1,1,2017,NA
11,DC,0,0,0,2017,NA
12,FL,0,0,0,2017,NA
13,GA,0,0,0,2017,NA
15,HI,0,0,1,2017,NA
16,ID,0,0,0,2017,NA
17,IL,0,1,1,2017,2019
18,IN,0,0,0,2017,NA
